filepath,xmin,xmax,ymin,ymax
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars108_png.rf.793c0a344101723185c5cbd185496e21.xml,277,442,437,486
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars108_png.rf.7ad5aefb7110b05981a56d65ef89a1c5.xml,226,388,435,481
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars108_png.rf.ca130426ab9ed3923cc248c0280ab616.xml,252,414,391,451
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars109_png.rf.48daa665ca0f714327edbce4da5eca2f.xml,188,451,251,355
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars109_png.rf.d7c4a0d83b379560fa85d632caae2db2.xml,158,425,280,373
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars109_png.rf.f05c8739d6b9399e195a3ba78a471c74.xml,196,461,248,354
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars10_png.rf.395dbe66cd3d52a0b4815d6a54e68ae0.xml,96,501,2,448
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars10_png.rf.c1294301f87ca61caee0f4754e9e248f.xml,114,519,2,448
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars10_png.rf.fa6640e8277807eb41f69c9b3724ff04.xml,129,537,1,444
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars110_png.rf.15536ad9361c2a0490a8f7947987b4b3.xml,492,567,356,416
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars110_png.rf.ccd3c811b1f7c7f9c07f9e3b08e252af.xml,488,563,306,363
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars110_png.rf.ee00f7f9dce6599caeb41b3965f2b208.xml,421,496,329,386
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars111_png.rf.1c5f81e6d34b4205d505a5637d02ff9c.xml,334,497,340,427
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars111_png.rf.808fde58ef40a859857e6575731446a9.xml,379,546,330,412
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars111_png.rf.e43333c8b3490b42aeade53b22eeebc1.xml,312,479,314,388
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars112_png.rf.1918aec4ba5697c8bfb843d902eeb461.xml,141,452,180,293
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars112_png.rf.29e8837132cdf9d20e3e6c430f827677.xml,143,453,216,306
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars112_png.rf.70cdd701566b48035958d3dd87a43369.xml,110,420,228,347
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars113_png.rf.835d4e0f5ada0a694f5de0c9d0901e14.xml,212,458,178,383
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars113_png.rf.8b30aa9e29020e8a697f9575f734da21.xml,254,500,178,383
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars113_png.rf.b6d7a51cbabb0064ac6164a1fb66dc65.xml,257,504,234,412
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars115_png.rf.4b1f0768226d42d6344bc8656f0398dd.xml,425,543,428,478
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars115_png.rf.d0f1d52130982ff86e3e6fd1c73b4d9f.xml,422,540,431,480
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars115_png.rf.f99516f9f14262962e886f0815b5311c.xml,353,472,467,508
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars116_png.rf.5c75d1ec4b61d9844c1a801964e94d27.xml,207,400,380,453
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars116_png.rf.d560b8562593a5b16460db36857b2a62.xml,221,412,382,455
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars116_png.rf.eabb8d84b1bfda7d9a1a3dbc95a9a269.xml,188,383,417,474
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars117_png.rf.378474bea4117d8d8102fe94dd926fee.xml,77,148,436,477
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars117_png.rf.75970795dedc01459cabd100061fc1b4.xml,39,112,436,477
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars117_png.rf.bb78ff957f5c735a832ba81fc96f298e.xml,112,187,430,470
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars118_png.rf.4c33825fe6866f5195df79603ec9abee.xml,196,379,304,410
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars118_png.rf.85a14a6185e1a3ef24ef6fd7a066d329.xml,228,404,249,351
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars118_png.rf.c3a8201d0fb51f7391d52687175e0c25.xml,236,415,279,368
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars119_png.rf.03940c4dc0ca3b8aef6039f7d6363aac.xml,319,369,339,376
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars119_png.rf.a3eb059fec835ef50a017c1040d7420c.xml,326,376,366,401
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars119_png.rf.bca14e1abe2dfc06827825bbcaa3fd1e.xml,278,328,366,401
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars11_png.rf.23fb000e36a1cb11e05e3a4e9092c29e.xml,155,388,385,468
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars11_png.rf.de66c81e13a690a113328a8c35913717.xml,181,411,448,526
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars11_png.rf.fca5ef3831bce141e8baeeb8805fa3c9.xml,206,433,401,475
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars120_png.rf.06805e527ed0c4c4f837772889c92ee1.xml,254,399,448,512
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars120_png.rf.0932fa2d9c4936ff6e91ca442d541afb.xml,234,382,443,505
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars120_png.rf.b2c13a33d7544626b02ea0264709d508.xml,220,369,412,471
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars121_png.rf.28ebdd05a9aed56cd990e4a1bb05006a.xml,494,530,405,431
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars121_png.rf.7660b8e6e524dfc8a77d16dcbe0557b5.xml,549,583,421,448
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars121_png.rf.9b2a7a895e9a3f6647948f9f9a9947d7.xml,537,571,424,451
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars122_png.rf.0293b02c436f46f3d49de003546f4241.xml,293,379,281,332
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars122_png.rf.290b6204185f9cf2c0438a2463f799ae.xml,334,421,337,377
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars122_png.rf.da1e3b8faa60580e6780ea89f42ae549.xml,315,400,290,340
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars123_png.rf.26cd7c2d6fd24322efb5099811a50a20.xml,286,414,498,557
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars123_png.rf.27eb2098c280f6c703e978c89f7f047f.xml,286,414,480,530
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars123_png.rf.f183f27e6bf169a9b25b3fce63bafb3f.xml,264,390,446,499
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars124_png.rf.1b0007200e5be5f6ed831600aec1c284.xml,454,482,618,641
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars124_png.rf.98a55abeeee21dc31c617616e311b33c.xml,465,492,621,641
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars124_png.rf.fcf981f5232eded5040febed18adb6a5.xml,480,507,618,641
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars125_png.rf.2a2046e1c0c3b29274cdead3eb0c4158.xml,485,606,460,608
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars125_png.rf.4490100be1d90e7a67e00fab485f95a7.xml,393,523,437,579
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars125_png.rf.83f07a66232f2ced8e4639bf6c5c630e.xml,451,575,505,641
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars126_png.rf.2ad81849e469f2e5672a93f7d9b9c086.xml,132,453,216,402
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars126_png.rf.a93afc822308721e59011b23262a3f22.xml,174,493,258,417
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars126_png.rf.e6e26f4e60a61c62917d1c52ccc9ebdb.xml,186,506,211,401
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars128_png.rf.122bdfceed5e6348f950aed1cfbbd43f.xml,187,529,239,474
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars128_png.rf.4e344ee005c89b36dcd98747f6466249.xml,185,528,227,470
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars128_png.rf.dde70f83e57057954cf42168ffec8f2a.xml,178,520,227,470
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars129_png.rf.39ca75b5cf793139e63171f0c480a7e2.xml,282,385,361,455
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars129_png.rf.637c49615b24df06ab38348b6589284c.xml,284,388,312,408
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars129_png.rf.9854cf70460a7675cc753686b6f9bb74.xml,226,324,308,405
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars130_png.rf.2b6007bb045fd39d1813545412730bfd.xml,144,262,254,296
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars130_png.rf.432789a2fa84fc5ba061b9c4b95b827e.xml,144,262,284,347
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars130_png.rf.d060c5c9d158c1783ed63ef9d3d4cc19.xml,135,254,258,302
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars132_png.rf.37f91f08ca36b8ce510e6c04eab8d514.xml,64,118,541,568
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars132_png.rf.86b751bf132884635d9eb9d0ce013805.xml,58,112,540,565
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars132_png.rf.d815983b4d1addea6b69e24c18d33312.xml,67,122,541,569
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars133_png.rf.32df1cf9499ec7637841a74efd65ff67.xml,265,402,307,377
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars133_png.rf.6a601a239448e1cba9edff63fb404c0c.xml,267,404,267,333
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars133_png.rf.dc0e4fd25d18e0e7011953a8a5a69eeb.xml,257,395,243,317
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars134_png.rf.1a2135a1829ef946b3662c9e882f1916.xml,84,172,351,393
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars134_png.rf.80f809c52374a60556a560ae252676fb.xml,108,194,359,407
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars134_png.rf.f36c7fe7ae0db00fe1750ee640a67f28.xml,169,260,362,412
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars135_png.rf.034d47df274b1c62073405e60201ae54.xml,428,524,521,606
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars135_png.rf.8bccaa3afec4b2c74e5840c77c316611.xml,398,495,509,596
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars135_png.rf.eea8f493be54be405310021331103f0b.xml,468,570,477,569
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars136_png.rf.06dde3273e5a7dd1ddecc3233c81fca2.xml,279,411,238,284
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars136_png.rf.6f7d9fecd192abb7e22ebac30fac41d8.xml,243,375,264,319
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars136_png.rf.e50c82f4cb85d0bab8a78a4ed8e6ae66.xml,253,383,254,305
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars137_png.rf.1db52f88e03f9da04d0a143ff942705b.xml,252,296,423,448
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars137_png.rf.c554de77475785b113e1e45faad4cbe6.xml,297,339,415,442
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars137_png.rf.f1aa0b9b139d1c26e445afeebf610003.xml,322,366,412,438
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars138_png.rf.642345bbb485647fc94681c3b6f938f8.xml,231,428,303,400
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars138_png.rf.6f1b0b3be560cf75e259c1061ab19a6d.xml,238,437,254,368
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars138_png.rf.7948925b24fd0f2c9081f836c577ab74.xml,188,395,294,390
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars139_png.rf.21fd85a04c2e9fb4eee76c499c46416c.xml,504,539,358,378
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars139_png.rf.79c638ca4b9d4e77cae686aa5af5df9f.xml,520,556,452,472
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars139_png.rf.cb8e3c5fd61d9a37e9447b052f7e6dcc.xml,494,529,358,378
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars13_png.rf.40b205ac83368bc271e6a876d3aaf466.xml,332,417,330,386
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars13_png.rf.497de850b2ea563c14506273161b8aae.xml,289,373,382,443
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars13_png.rf.e5d10a119d8a2b13455d983643747939.xml,324,408,382,443
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars140_png.rf.288bfbd28d3f7d8208c5e1faf9272ca3.xml,359,572,480,582
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars140_png.rf.42da613afe6fce28c057a49fd7bbfd46.xml,427,631,534,619
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars140_png.rf.7f15c0ec81d6f5f6fcefb1611d62f830.xml,420,625,513,604
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars141_png.rf.230a5f66c8b64a0e57e866781ced4e6d.xml,411,460,433,463
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars141_png.rf.79507e2fcf8ff0523c4812804ea76aa1.xml,443,493,460,493
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars141_png.rf.ff0ecd8992580f2f29aa00138ddf6475.xml,443,493,387,418
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars142_png.rf.37803e76e423070a8a09570077d8c441.xml,248,406,423,516
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars142_png.rf.614c9007af8229051e7ecf7aed97b9fe.xml,326,486,418,508
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars142_png.rf.ffc784676f72a4a3c77d17b3e9561bb4.xml,251,408,355,450
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars143_png.rf.4c616200f95cf96ae271fe0135ac505d.xml,168,228,445,478
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars143_png.rf.6707f938ab374ebaa4a16c8d11b5d12a.xml,149,208,476,506
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars143_png.rf.df6d08d71f77297c3718b9cad7e03c6e.xml,123,183,448,480
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars144_png.rf.6b2a9005b7082926b964472f25d7bc18.xml,231,429,294,378
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars144_png.rf.6d5b4bd141569e610615492b362a6611.xml,238,437,310,410
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars144_png.rf.d2067db75ad5f179853753f80dd80862.xml,226,422,263,357
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars146_png.rf.7d2ac15bac07907af1dd61d8a3fc5c33.xml,235,278,581,602
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars146_png.rf.919ea5a091af52acb54f2129d1f3a697.xml,202,245,580,601
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars146_png.rf.a80c81dd3fc5f871176d278d01971302.xml,258,302,576,596
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars148_png.rf.0e248eab4bd3aabb386a74b528b6a312.xml,255,383,353,421
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars148_png.rf.4e33662d40b50fa555b41783aee38f6c.xml,239,365,397,460
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars148_png.rf.9b217370871bab131d63c85870a62a6c.xml,204,329,406,474
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars149_png.rf.6d1363dfefb1a287c2d8705f1638586c.xml,350,405,433,484
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars149_png.rf.854b21e2073f049078f6b94e7f345b3b.xml,296,353,381,433
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars149_png.rf.ef2fa1c5db40e6fd84652707824b504a.xml,360,416,431,481
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars14_png.rf.1ddd1551c95e42dda79785acb6f080ce.xml,185,508,346,482
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars14_png.rf.23cfa6e21a30d25955c2323c1d18e781.xml,165,482,344,473
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars14_png.rf.a8e53190c3aa58ad6b455090c5cdfedf.xml,175,495,339,460
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars150_png.rf.186a7a2ad987790b8464e9585801ec1b.xml,212,439,407,487
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars150_png.rf.20f89655f3422934d23ce94e6eed0442.xml,169,396,426,503
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars150_png.rf.a0e882d8845faf2e18ba96dced505fb6.xml,166,394,382,476
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars151_png.rf.3e94ea4595d2143b85ab7f14d361b8ff.xml,120,206,369,424
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars151_png.rf.89997508bde6ee2971b0d3e0c78b1d09.xml,125,211,380,445
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars151_png.rf.dbc4fefb7e23e4c5b7197ff0537f3a95.xml,129,216,383,450
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars152_png.rf.1928b1046d49d48b583d4332c58ab9c9.xml,174,318,560,626
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars152_png.rf.3798b35f7d8dfb98a1b5b651cd7e4fed.xml,152,293,551,607
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars152_png.rf.bf0a8fa28fceb0a3ec9ccf16f8461aba.xml,149,290,520,591
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars154_png.rf.3dfd2f581444b43d4bec869ea295befd.xml,96,424,250,325
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars154_png.rf.93833379554d4d18ab4a570a3de19b5b.xml,134,458,269,392
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars154_png.rf.da6a5dc671d157bb04e77aaddf686846.xml,154,483,264,374
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars155_png.rf.0cc4d49c7978951f706f14b521859c1d.xml,247,332,435,471
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars155_png.rf.5c9ac8024602e9cb6ca1c89baa0205b7.xml,221,307,389,429
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars155_png.rf.646ad766d47f5494609c1f6c7fc18597.xml,197,285,421,453
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars156_png.rf.945fa741438ffe3e668adce5c4b4ae82.xml,153,343,250,338
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars156_png.rf.d9c01257084e5d1cb911f84ac548cc57.xml,180,363,230,325
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars156_png.rf.f1cd814f976b8414afb8314d41509632.xml,168,354,228,324
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars157_png.rf.001b3c9bcfeb9a3f52721f0ef4fe2cc9.xml,513,573,360,429
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars157_png.rf.4c209c787a8a00c88834f25a10bfd306.xml,525,584,333,404
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars157_png.rf.6294ff37aeef2bfc6ef1f324eb72a13c.xml,522,582,312,386
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars158_png.rf.6ebe1ce079535dc831fbfbbef08dd5ca.xml,181,504,252,446
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars158_png.rf.7c71d359470b3f9130e52c30f1eabe12.xml,182,507,246,444
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars158_png.rf.a4080527ac544113e7cf6320eca85434.xml,172,488,258,458
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars159_png.rf.1d16c26ebfa632a3c2b3a1938a101b6f.xml,275,460,373,440
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars159_png.rf.8064c10666f4012ed77694b81d6416ef.xml,205,388,352,405
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars159_png.rf.d501a5edbc3e2f2888f801de1e831158.xml,256,438,376,445
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars15_png.rf.28beae939fe0e9ab2a770fcae95cd71d.xml,477,551,358,422
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars15_png.rf.b5b001aac44664cc191f61ed08880310.xml,551,625,395,455
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars15_png.rf.e3baadf28900acd3fe9c689b7a00991b.xml,516,590,317,386
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars160_png.rf.33a7ec094e16c34b836d6cfe4313de20.xml,305,399,308,373
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars160_png.rf.5f87cff941a0485a059d0226a69bcc5b.xml,285,375,265,335
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars160_png.rf.c690c0712ba5ea0b999506c5e4253824.xml,284,373,278,345
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars162_png.rf.48c559f0f1944bad23c336ff6129e1d5.xml,253,326,344,415
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars162_png.rf.623de1e96476c648dbaa7fef5e691419.xml,235,308,369,446
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars162_png.rf.e55780b9b2fae9fb23fb2f6a6e954151.xml,217,290,370,447
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars163_png.rf.83034318d501f078c58b2a008e759b15.xml,232,385,321,374
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars163_png.rf.d80729f5be592b9b94e8ac6425c70233.xml,209,365,290,350
